category,source,question,answer,explanation
채권법,검수형 안정문항,채권양도는 원칙적으로 양도인과 양수인의 합의만으로 효력이 발생한다.,O,채권양도 자체의 효력과 대항요건을 구별해야 합니다.
채권법,검수형 안정문항,지명채권의 양도를 채무자에게 대항하려면 양도인의 통지 또는 채무자의 승낙이 필요하다.,O,채권양도의 대항요건입니다.
채권법,검수형 안정문항,상계는 상대방에 대한 의사표시로 한다.,O,상계는 일방적 의사표시입니다.
채권법,검수형 안정문항,상계의 의사표시에는 조건 또는 기한을 붙일 수 있다.,X,상계에는 조건 또는 기한을 붙이지 못합니다.
채권법,검수형 안정문항,계약이 해제되면 손해배상청구는 할 수 없다.,X,계약해제와 손해배상청구는 병존할 수 있습니다.
채권법,검수형 안정문항,채권자대위권은 원칙적으로 채무자가 자기 권리를 행사하지 않을 때 문제된다.,O,채무자의 권리 불행사가 중요한 요건입니다.
채권법,검수형 안정문항,연대채무자 중 1인이 변제하면 그 범위에서 다른 연대채무자도 채무를 면한다.,O,변제는 다른 연대채무자에게도 영향을 미치는 대표 사유입니다.
가족법,2026 현행법 반영,사실혼 배우자는 특별한 사정이 없는 한 민법상 법정상속인이 아니다.,O,사실혼은 일정한 보호를 받지만 법정상속권은 인정되지 않습니다.
가족법,검수형 안정문항,배우자가 직계비속과 공동상속하는 경우 배우자의 상속분은 직계비속 상속분의 5할을 가산한다.,O,배우자 상속분 계산의 대표 문제입니다.
가족법,검수형 안정문항,태아는 상속순위에 관하여 이미 출생한 것으로 본다.,O,태아의 상속능력은 빈출 포인트입니다.
가족법,검수형 안정문항,상속포기는 상속개시 전에도 미리 할 수 있다.,X,상속포기는 상속개시 후에만 가능합니다.
가족법,검수형 안정문항,상속인은 상속개시 있음을 안 날부터 원칙적으로 3개월 내에 단순승인 한정승인 또는 포기를 할 수 있다.,O,3개월 기간은 상속법의 기본 숫자 함정입니다.
가족법,검수형 안정문항,상속포기자의 직계비속은 그 상속포기자를 대습하여 상속할 수 있다.,X,상속포기는 대습상속 원인이 아닙니다.
가족법,검수형 안정문항,상속재산의 분할은 상속개시된 때에 소급하여 효력이 있으나 제3자의 권리를 해하지 못한다.,O,상속재산분할의 소급효와 제3자 보호를 함께 기억해야 합니다.
가족법,검수형 안정문항,공동상속인 중 특별수익자가 있으면 그 수익은 상속분 산정에서 고려될 수 있다.,O,특별수익은 공동상속인 사이의 형평을 위한 제도입니다.
가족법,2026 현행법 반영,형제자매는 현재 유류분권자로 인정된다.,X,현행 민법 제1112조에서 형제자매 유류분 조항은 삭제되었습니다.
가족법,2026 현행법 반영,피상속인의 직계비속과 배우자의 유류분은 각 법정상속분의 2분의 1이다.,O,현행 민법 제1112조 기준입니다.
